,count,f,layer_structure,w
127,9493,"[0, 1, 1, 1, 1, 1, 1, 1]",[3],1
128,9371,"[1, 0, 0, 0, 0, 0, 0, 0]",[3],1
8,7381,"[0, 0, 0, 0, 1, 0, 0, 0]",[3],1
32,7315,"[0, 0, 1, 0, 0, 0, 0, 0]",[3],1
223,7257,"[1, 1, 0, 1, 1, 1, 1, 1]",[3],1
247,7241,"[1, 1, 1, 1, 0, 1, 1, 1]",[3],1
64,7217,"[0, 1, 0, 0, 0, 0, 0, 0]",[3],1
191,7212,"[1, 0, 1, 1, 1, 1, 1, 1]",[3],1
2,5286,"[0, 0, 0, 0, 0, 0, 1, 0]",[3],1
16,5252,"[0, 0, 0, 1, 0, 0, 0, 0]",[3],1
251,5228,"[1, 1, 1, 1, 1, 0, 1, 1]",[3],1
239,5197,"[1, 1, 1, 0, 1, 1, 1, 1]",[3],1
4,5192,"[0, 0, 0, 0, 0, 1, 0, 0]",[3],1
253,5176,"[1, 1, 1, 1, 1, 1, 0, 1]",[3],1
254,3133,"[1, 1, 1, 1, 1, 1, 1, 0]",[3],1
1,3049,"[0, 0, 0, 0, 0, 0, 0, 1]",[3],1
